-- v TEXTURE
235.90, 36.75, 235.90, 34.52, 235.28, 32.64, 234.05, 31.13
234.05, 31.13, 232.82, 29.61, 231.10, 28.85, 228.90, 28.85
-- 7 TEXTURE
247.25, 12.55, 247.25, 12.55, 270.95, 12.55, 270.95, 12.55
270.95, 12.55, 270.95, 12.55, 270.95, 16.25, 270.95, 16.25
270.95, 16.25, 268.35, 19.88, 266.10, 23.32, 264.20, 26.57
264.20, 26.57, 262.30, 29.82, 260.73, 33.13, 259.48, 36.48
259.48, 36.48, 258.23, 39.83, 257.25, 43.50, 256.55, 47.50
256.55, 47.50, 256.55, 47.50, 251.85, 47.50, 251.85, 47.50
251.85, 47.50, 252.55, 44.57, 253.26, 41.98, 253.98, 39.73
253.98, 39.73, 254.69, 37.48, 255.46, 35.42, 256.28, 33.55
256.28, 33.55, 257.09, 31.68, 258.00, 29.88, 259.00, 28.13
259.00, 28.13, 260.00, 26.38, 261.13, 24.56, 262.38, 22.67
262.38, 22.67, 263.63, 20.79, 265.05, 18.70, 266.65, 16.40
266.65, 16.40, 266.65, 16.40, 247.25, 16.40, 247.25, 16.40
247.25, 16.40, 247.25, 16.40, 247.25, 12.55, 247.25, 12.55
-- 8 TEXTURE
295.85, 28.65, 299.88, 30.65, 301.90, 33.57, 301.90, 37.40
301.90, 37.40, 301.90, 39.57, 301.41, 41.48, 300.43, 43.13
300.43, 43.13, 299.44, 44.78, 298.06, 46.07, 296.28, 47.00
296.28, 47.00, 294.49, 47.93, 292.40, 48.40, 290.00, 48.40
290.00, 48.40, 287.67, 48.40, 285.61, 47.93, 283.82, 47.00
283.82, 47.00, 282.04, 46.07, 280.64, 44.78, 279.63, 43.13
279.63, 43.13, 278.61, 41.48, 278.10, 39.57, 278.10, 37.40
278.10, 37.40, 278.10, 33.57, 280.13, 30.65, 284.20, 28.65
284.20, 28.65, 282.60, 27.68, 281.39, 26.66, 280.57, 25.57
280.57, 25.57, 279.76, 24.49, 279.35, 23.03, 279.35, 21.20
279.35, 21.20, 279.35, 19.33, 279.81, 17.69, 280.73, 16.27
280.73, 16.27, 281.64, 14.86, 282.91, 13.75, 284.53, 12.95
284.53, 12.95, 286.14, 12.15, 287.97, 11.75, 290.00, 11.75
290.00, 11.75, 292.13, 11.75, 293.99, 12.15, 295.57, 12.95
295.57, 12.95, 297.16, 13.75, 298.40, 14.87, 299.30, 16.30
299.30, 16.30, 300.20, 17.73, 300.65, 19.38, 300.65, 21.25
300.65, 21.25, 300.65, 22.92, 300.31, 24.27, 299.63, 25.32
299.63, 25.32, 298.94, 26.37, 297.68, 27.48, 295.85, 28.65
290.00, 15.45, 287.93, 15.45, 286.35, 16.02, 285.25, 17.15
285.25, 17.15, 284.15, 18.28, 283.60, 19.65, 283.60, 21.25
283.60, 21.25, 283.60, 22.78, 284.13, 24.11, 285.20, 25.22
285.20, 25.22, 286.27, 26.34, 287.87, 26.90, 290.00, 26.90
290.00, 26.90, 291.87, 26.90, 293.40, 26.39, 294.60, 25.38
294.60, 25.38, 295.80, 24.36, 296.40, 23.02, 296.40, 21.35
296.40, 21.35, 296.40, 19.55, 295.83, 18.12, 294.68, 17.05
294.68, 17.05, 293.53, 15.98, 291.97, 15.45, 290.00, 15.45
290.00, 30.60, 288.63, 30.60, 287.37, 30.88, 286.20, 31.43
286.20, 31.43, 285.03, 31.98, 284.10, 32.77, 283.40, 33.80
283.40, 33.80, 282.70, 34.83, 282.35, 36.10, 282.35, 37.60
282.35, 37.60, 282.35, 39.03, 282.68, 40.28, 283.35, 41.35
283.35, 41.35, 284.02, 42.42, 284.92, 43.24, 286.07, 43.83
286.07, 43.83, 287.22, 44.41, 288.50, 44.70, 289.90, 44.70
289.90, 44.70, 292.20, 44.70, 294.07, 44.04, 295.50, 42.73
